id,image_path,text,expected_answer
26,"image_samples/dog.jpg","What is the mood of this image?","The mood is happy."
27,"image_samples/cat.jpg","What animal is this?","This is a cat."
28,"image_samples/tree.jpg","What is in this image?","This is a tree."
29,"image_samples/car.jpg","What color is this car?","The car is red."
30,"image_samples/bird.jpg","What is flying here?","A bird is flying."
31,"image_samples/dog.jpg","What animal is this?","This is a dog."
32,"image_samples/cat.jpg","What is the mood of this image?","The mood is calm."
33,"image_samples/tree.jpg","What color is this?","The tree is green."
34,"image_samples/car.jpg","What is in this image?","This is a car."
35,"image_samples/bird.jpg","What is the mood of this image?","The mood is free."
36,"image_samples/dog.jpg","What color is this?","The dog is brown."
37,"image_samples/cat.jpg","What is in this image?","This is a cat."
38,"image_samples/tree.jpg","What is the mood of this image?","The mood is serene."
39,"image_samples/car.jpg","What is moving here?","A car is moving."
40,"image_samples/bird.jpg","What animal is this?","This is a bird."
41,"image_samples/dog.jpg","What is in this image?","This is a dog."
42,"image_samples/cat.jpg","What color is this?","The cat is gray."
43,"image_samples/tree.jpg","What is growing here?","A tree is growing."
44,"image_samples/car.jpg","What is the mood of this image?","The mood is fast."
45,"image_samples/bird.jpg","What color is this?","The bird is blue."
46,"image_samples/dog.jpg","What is moving here?","A dog is moving."
47,"image_samples/cat.jpg","What animal is this?","This is a cat."
48,"image_samples/tree.jpg","What is in this image?","This is a tree."
49,"image_samples/car.jpg","What is in this image?","This is a car."
50,"image_samples/bird.jpg","What is flying here?","A bird is flying."
